x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
0.29056678661419466;0.6374547471801058;0.9546134337392731;0.6342804062216975;0.9146458118638935;0.8822690855558952;0.1996878359818297;0.28781098029746965;0.7769527908644133;0.41391389343395557
0.9320619772397064;0.8735991456407823;0.7256310317085578;0.22133903012834955;0.5526896278364711;0.24998803823841453;0.27521393229023283;0.9828382508419578;0.7030623430766871;0.48668413262635024
0.5329801522297091;0.7610013377227173;0.6653230033553649;0.5123400933076254;0.09927114733881115;0.16572669844079402;0.8551420812451986;0.9049750955471264;0.6904605683950378;0.4664937929555244
0.2841992845704665;0.7702324654363882;0.5298116410194843;0.8328015703057626;0.4197148629784948;0.6615654771877316;0.7499055035791494;0.4086629556977033;0.399496585362615;0.5385582649318592
0.974905657257245;0.05726615057928741;0.45227393855141007;0.488499009540191;0.8036064383726134;0.8912164682758009;0.8297951120245023;0.026780081236104314;0.8381092773973973;0.10943616291653668
0.4643477870403141;0.831752249019586;0.4526364189132168;0.24473861037290434;0.06624040688177812;0.3951052929432347;0.24159126763506855;0.1819722694827408;0.09175669436989908;0.28458534673474023
0.8936113987887095;0.10290163909695782;0.9726333883066731;0.8382328467479448;0.8817652388679396;0.3132706508045573;0.7612775880948455;0.7347807958684226;0.1917603636730154;0.9403010002793553
0.5665770927384106;0.8867141834009032;0.4668697572341176;0.4774526361027438;0.3914588825993909;0.34200231924402247;0.8195276255053333;0.8885307631734191;0.2513914176042268;0.19053218138487615
0.3849298646778473;0.004846448058409503;0.6564968219508841;0.343007912679799;0.911316189270792;0.05946533838801371;0.8573158352122832;0.5788857559096406;0.5694857222960272;0.5828002881010332
0.33899582570885123;0.7101020832770079;0.7957451136411556;0.9835106938235267;0.33159297630981177;0.007919896905941859;0.3292721112589605;0.8591148396523199;0.408497023595367;0.7599019002247073
